encoder,decoder,dataset,seed,latency_ms_per_image,peak_memory_MB,total_params_M,trainable_params_M,flops_G,flops_source,n_warmup,n_timed,device_used,test_dice,test_iou
pvt,xboundformer,busi,4,8.8,580.99,52.371,52.371,9.196,fvcore,5,20,cuda,0.811085862271926,0.7167089300997117
pvt,xboundformer,isic2018,0,8.949,580.99,52.371,52.371,9.196,fvcore,5,20,cuda,0.8978392674372746,0.8274690059515146
pvt,xboundformer,isic2018,1,8.936,580.99,52.371,52.371,9.196,fvcore,5,20,cuda,0.894436356654534,0.8240689736146193
pvt,xboundformer,isic2018,2,8.937,580.99,52.371,52.371,9.196,fvcore,5,20,cuda,0.8952044211901151,0.8240844213045561
pvt,xboundformer,isic2018,3,8.995,580.99,52.371,52.371,9.196,fvcore,5,20,cuda,0.897708550783304,0.8272712331551771
pvt,xboundformer,isic2018,4,9.009,580.99,52.371,52.371,9.196,fvcore,5,20,cuda,0.8954216902072613,0.8242194221569942
pvt,xboundformer,polyp_kvasir,0,8.902,580.99,52.371,52.371,9.196,fvcore,5,20,cuda,0.9023406872382531,0.8392618115131671
pvt,xboundformer,polyp_kvasir,1,9.462,580.99,52.371,52.371,9.196,fvcore,5,20,cuda,0.9032233907626226,0.8443856927064749
pvt,xboundformer,polyp_kvasir,2,8.904,580.99,52.371,52.371,9.196,fvcore,5,20,cuda,0.8679016782687261,0.8016198231623723
pvt,xboundformer,polyp_kvasir,3,8.898,580.99,52.371,52.371,9.196,fvcore,5,20,cuda,0.9088034996619592,0.8496449177081769
pvt,xboundformer,polyp_kvasir,4,8.985,580.99,52.371,52.371,9.196,fvcore,5,20,cuda,0.8948073937342718,0.8260257794306829
pvt,xboundformer,tn3k,0,8.945,580.99,52.371,52.371,9.196,fvcore,5,20,cuda,0.8334185357217665,0.7456899409170274
pvt,xboundformer,tn3k,1,9.003,580.99,52.371,52.371,9.196,fvcore,5,20,cuda,0.8309528107766981,0.7424322227378944
pvt,xboundformer,tn3k,2,9.09,580.99,52.371,52.371,9.196,fvcore,5,20,cuda,0.8347587167442619,0.748831130467452
pvt,xboundformer,tn3k,3,8.883,580.99,52.371,52.371,9.196,fvcore,5,20,cuda,0.8319906182103343,0.7435135562698563
pvt,xboundformer,tn3k,4,8.971,580.99,52.371,52.371,9.196,fvcore,5,20,cuda,0.8348074090945257,0.7489539818330244
resnet,bat,busi,0,4.1,979.31,102.478,102.478,11.559,fvcore,5,20,cuda,0.7927404887535993,0.6981194965979632
resnet,bat,busi,1,4.1,979.31,102.478,102.478,11.559,fvcore,5,20,cuda,0.7883279008023879,0.6923981168690849
resnet,bat,busi,2,4.094,979.31,102.478,102.478,11.559,fvcore,5,20,cuda,0.7907924020991606,0.693913063582252
resnet,bat,busi,3,4.097,979.31,102.478,102.478,11.559,fvcore,5,20,cuda,0.787943093215718,0.6908522739129908
resnet,bat,busi,4,4.077,979.31,102.478,102.478,11.559,fvcore,5,20,cuda,0.7993768769152024,0.7020632589564604
resnet,bat,isic2018,0,4.092,979.31,102.478,102.478,11.559,fvcore,5,20,cuda,0.8817400336265564,0.8031280490068289
resnet,bat,isic2018,1,4.073,979.31,102.478,102.478,11.559,fvcore,5,20,cuda,0.889276606302995,0.8130223173361558
resnet,bat,isic2018,2,4.089,979.31,102.478,102.478,11.559,fvcore,5,20,cuda,0.8820535916548509,0.8044587703851553
resnet,bat,isic2018,3,4.103,979.31,102.478,102.478,11.559,fvcore,5,20,cuda,0.8861158636900095,0.8088626173826364
resnet,bat,isic2018,4,4.093,979.31,102.478,102.478,11.559,fvcore,5,20,cuda,0.8885490307441124,0.8134109313671406
resnet,bat,polyp_kvasir,0,4.109,979.31,102.478,102.478,11.559,fvcore,5,20,cuda,0.8736164982502277,0.801542722261869
resnet,bat,polyp_kvasir,1,4.105,979.31,102.478,102.478,11.559,fvcore,5,20,cuda,0.8782486090293298,0.8080249153650724
resnet,bat,polyp_kvasir,2,4.114,979.31,102.478,102.478,11.559,fvcore,5,20,cuda,0.869600364795098,0.7931958803763757
resnet,bat,polyp_kvasir,3,4.103,979.31,102.478,102.478,11.559,fvcore,5,20,cuda,0.8770986199378967,0.8079310747293326
resnet,bat,polyp_kvasir,4,4.095,979.31,102.478,102.478,11.559,fvcore,5,20,cuda,0.8807328159992511,0.8105980708048894
resnet,bat,tn3k,0,4.092,979.31,102.478,102.478,11.559,fvcore,5,20,cuda,0.7978848993004143,0.7021738670089028
resnet,bat,tn3k,1,4.092,979.31,102.478,102.478,11.559,fvcore,5,20,cuda,0.8013659545353481,0.7082728279101385
resnet,bat,tn3k,2,4.088,979.31,102.478,102.478,11.559,fvcore,5,20,cuda,0.8072880545219818,0.7125998209049176
resnet,bat,tn3k,3,4.095,979.31,102.478,102.478,11.559,fvcore,5,20,cuda,0.7995931181040677,0.7047419718333653
resnet,bat,tn3k,4,4.096,979.31,102.478,102.478,11.559,fvcore,5,20,cuda,0.7991998582691341,0.7050118128974716
resnet,boundformer,busi,0,5.314,352.45,24.175,24.175,5.588,fvcore,5,20,cuda,0.6999340513173271,0.5802398253889645
resnet,boundformer,busi,1,5.218,352.45,24.175,24.175,5.588,fvcore,5,20,cuda,0.6818450058207792,0.5716135659638573
resnet,boundformer,busi,2,5.241,352.45,24.175,24.175,5.588,fvcore,5,20,cuda,0.7024956450742834,0.5732492699342615
resnet,boundformer,busi,3,5.226,352.45,24.175,24.175,5.588,fvcore,5,20,cuda,0.6813984653528999,0.5512251503327313
resnet,boundformer,busi,4,5.244,352.45,24.175,24.175,5.588,fvcore,5,20,cuda,0.7013630200834835,0.5808073264711043
resnet,boundformer,isic2018,0,5.349,352.45,24.175,24.175,5.588,fvcore,5,20,cuda,0.8530730146628159,0.7606340454174922
resnet,boundformer,isic2018,1,5.217,352.45,24.175,24.175,5.588,fvcore,5,20,cuda,0.8570844668608445,0.7649787270105802
resnet,boundformer,isic2018,2,5.44,352.45,24.175,24.175,5.588,fvcore,5,20,cuda,0.8487107973832351,0.7557011063282306
resnet,boundformer,isic2018,3,5.339,352.45,24.175,24.175,5.588,fvcore,5,20,cuda,0.8477671384811402,0.7524875631699195
resnet,boundformer,isic2018,4,5.222,352.45,24.175,24.175,5.588,fvcore,5,20,cuda,0.848868844142327,0.7547876683565287
resnet,boundformer,polyp_kvasir,0,5.296,352.45,24.175,24.175,5.588,fvcore,5,20,cuda,0.8255340502812312,0.7309647615139301
resnet,boundformer,polyp_kvasir,1,5.265,352.45,24.175,24.175,5.588,fvcore,5,20,cuda,0.8239585665556101,0.7278817571126498
resnet,boundformer,polyp_kvasir,2,5.265,352.45,24.175,24.175,5.588,fvcore,5,20,cuda,0.8121724724769592,0.7159057122010452
resnet,boundformer,polyp_kvasir,3,5.232,352.45,24.175,24.175,5.588,fvcore,5,20,cuda,0.81407119677617,0.7191070180672866
resnet,boundformer,polyp_kvasir,4,5.315,352.45,24.175,24.175,5.588,fvcore,5,20,cuda,0.8142520464383639,0.7166137741162226
resnet,boundformer,tn3k,0,5.239,352.45,24.175,24.175,5.588,fvcore,5,20,cuda,0.7563762231306597,0.6546892910808711
resnet,boundformer,tn3k,1,5.246,352.45,24.175,24.175,5.588,fvcore,5,20,cuda,0.7508754436071817,0.648752136276914
resnet,boundformer,tn3k,2,5.229,352.45,24.175,24.175,5.588,fvcore,5,20,cuda,0.7690234284896356,0.6666315441781824
